solver_window_ms,user_decision_timeout_ms,time_to_deadline_ms,time_in_force,max_slippage_bps,max_gas_cost_usd,max_hops,has_whitelist,has_blacklist,has_limit_price,optimization_goal,surplus_weight,gas_cost_weight,execution_speed_weight,reputation_weight,require_simulation,input_count,output_count,input_asset_types,output_asset_types,input_value_usd,expected_output_value_usd,benchmark_source,benchmark_confidence,expected_gas_usd,expected_slippage_bps,has_nlp_input,nlp_confidence,client_platform,tag_count,strategy,actual_surplus_usd,actual_surplus_pct,actual_price_impact,primary_category,sub_category,detected_priority,complexity_level,risk_level,surplus_usd_weight,surplus_pct_weight,price_impact_weight,gas_cost_weight,gas_efficiency_weight,total_cost_weight,success_rate_weight,reliability_weight,guarantee_weight
15000,120000,21413,good_til_cancel,918,2.0,2,True,True,False,maximize_output,42,13,10,35,False,1,1,"[""native""]","[""native""]",38408.47,39135.03,internal,0.809,2.34,509,False,0.0,telegram,0,Surplus-First,233.91,0.6,1.99,complex_defi,multi_token,output,complex,medium,0.439,0.313,0.248,13,,,,,
30000,60000,355414,immediate,626,2.32,2,True,True,True,maximize_output,15,22,20,43,True,3,1,"[""native"", ""volatile"", ""volatile""]","[""native""]",43621.55,42350.3,1inch,0.823,1.61,471,True,0.758,mobile,5,Reputation-Trust,,,,complex_defi,multi_token,balanced,moderate,low,,,,22,,,0.392,0.368,0.24
10000,300000,243689,fill_or_kill,654,2.62,4,True,True,True,minimize_gas,27,15,9,49,False,2,2,"[""native"", ""volatile""]","[""stable"", ""native""]",50987.68,51701.53,1inch,0.962,2.27,227,False,0.0,web,1,Reputation-Trust,,,,limit_order,standard_limit,balanced,moderate,medium,,,,15,,,0.41,0.39,0.2
15000,30000,181294,immediate,645,2.04,2,False,True,False,fastest_execution,11,50,16,23,True,1,1,"[""stable""]","[""volatile""]",17362.47,17136.07,1inch,0.903,1.1,113,True,0.61,api,4,Gas-Optimized,,,,swap,simple_swap,output,simple,low,,,,50,0.277,0.323,,,
15000,300000,491205,fill_or_kill,813,2.98,3,True,True,True,balanced,18,12,15,55,True,2,1,"[""volatile"", ""stable""]","[""stable""]",8915.68,8971.95,paraswap,0.937,1.91,131,True,0.65,api,0,Reputation-Trust,,,,complex_defi,multi_token,output,complex,medium,,,,12,,,0.404,0.321,0.275
10000,120000,88580,fill_or_kill,613,2.0,3,False,False,False,maximize_output,11,51,18,20,False,1,1,"[""native""]","[""volatile""]",18488.91,18447.81,paraswap,0.816,1.69,498,False,0.0,api,1,Gas-Optimized,,,,complex_defi,split_route,balanced,moderate,medium,,,,51,0.345,0.171,,,
15000,60000,190329,good_til_cancel,668,2.14,2,True,False,True,minimize_gas,25,55,11,9,False,1,1,"[""native""]","[""volatile""]",9981.53,10020.72,1inch,0.834,0.84,602,False,0.0,telegram,3,Gas-Optimized,,,,swap,multi_hop_swap,cost,moderate,medium,,,,55,0.287,0.278,,,
15000,300000,109744,good_til_cancel,731,2.85,3,True,True,False,balanced,24,13,19,44,True,2,2,"[""native"", ""native""]","[""volatile"", ""native""]",44842.88,43944.69,paraswap,0.956,2.0,105,True,0.725,telegram,5,Reputation-Trust,,,,swap,multi_hop_swap,balanced,moderate,medium,,,,13,,,0.427,0.342,0.231
3000,300000,77565,fill_or_kill,699,2.98,2,False,False,True,maximize_output,43,7,18,32,True,2,1,"[""volatile"", ""stable""]","[""volatile""]",8373.13,8256.91,coingecko,0.727,1.66,206,True,0.816,web,4,Surplus-First,751.28,9.1,0.62,complex_defi,multi_token,output,complex,high,0.465,0.322,0.213,7,,,,,
10000,120000,425184,immediate,634,2.3,3,True,False,False,balanced,18,11,30,41,True,1,1,"[""native""]","[""native""]",42426.94,41906.03,paraswap,0.935,2.21,534,False,0.0,api,0,Reputation-Trust,,,,complex_defi,multi_token,cost,moderate,low,,,,11,,,0.355,0.372,0.273
3000,30000,158219,immediate,554,2.5,4,True,False,True,maximize_output,53,9,12,26,True,2,1,"[""stable"", ""stable""]","[""native""]",635.53,637.81,coingecko,0.942,2.0,126,True,0.873,web,5,Surplus-First,415.62,65.16,0.39,swap,multi_hop_swap,output,complex,medium,0.481,0.387,0.132,9,,,,,
15000,30000,169745,good_til_cancel,879,2.9,3,True,False,True,maximize_output,47,14,14,25,True,1,1,"[""native""]","[""volatile""]",23332.63,23273.91,paraswap,0.895,1.38,252,False,0.0,api,2,Surplus-First,125.93,0.54,1.13,complex_defi,multi_token,output,moderate,medium,0.433,0.366,0.201,14,,,,,
15000,120000,108312,good_til_cancel,523,2.16,3,False,True,False,minimize_gas,22,50,12,16,False,1,1,"[""volatile""]","[""native""]",14682.02,14803.84,1inch,0.878,1.79,163,False,0.0,web,3,Gas-Optimized,,,,complex_defi,split_route,cost,simple,low,,,,50,0.29,0.252,,,
15000,30000,103897,good_til_cancel,847,2.33,3,True,True,False,balanced,46,9,20,25,True,1,1,"[""volatile""]","[""volatile""]",1374.68,1385.95,internal,0.955,1.18,510,False,0.0,telegram,3,Surplus-First,483.63,34.9,1.14,complex_defi,aggregated_swap,output,complex,high,0.413,0.372,0.215,9,,,,,
3000,120000,137852,immediate,630,2.08,2,True,True,True,minimize_gas,23,55,13,9,False,1,1,"[""volatile""]","[""native""]",9653.54,9628.74,paraswap,0.771,1.25,59,False,0.0,mobile,4,Gas-Optimized,,,,swap,multi_hop_swap,cost,moderate,low,,,,55,0.266,0.325,,,
15000,600000,88784,good_til_cancel,837,2.26,4,True,True,False,balanced,17,11,26,46,True,1,1,"[""native""]","[""volatile""]",56579.64,55651.43,1inch,0.951,1.9,614,True,0.672,api,0,Reputation-Trust,,,,complex_defi,split_route,balanced,moderate,high,,,,11,,,0.407,0.356,0.237
30000,300000,68293,good_til_cancel,621,2.3,2,True,False,False,maximize_output,55,14,18,13,True,1,1,"[""stable""]","[""stable""]",577.43,570.29,internal,0.754,2.0,318,False,0.0,web,4,Surplus-First,537.42,94.24,1.97,swap,cross_chain,output,moderate,medium,0.425,0.302,0.273,14,,,,,
15000,120000,201223,immediate,852,2.99,4,False,False,True,maximize_output,23,19,16,42,True,3,1,"[""volatile"", ""volatile"", ""native""]","[""volatile""]",52740.75,51825.79,1inch,0.909,1.32,736,True,0.856,telegram,0,Reputation-Trust,,,,swap,simple_swap,balanced,moderate,medium,,,,19,,,0.427,0.397,0.176
15000,120000,104084,immediate,507,2.22,2,True,False,True,minimize_gas,13,58,14,15,True,1,1,"[""volatile""]","[""native""]",15207.34,15011.14,1inch,0.871,0.66,72,False,0.0,mobile,1,Gas-Optimized,,,,swap,multi_hop_swap,cost,simple,low,,,,58,0.259,0.259,,,
60000,60000,88614,fill_or_kill,835,2.57,3,False,False,False,maximize_output,27,14,10,49,True,1,1,"[""volatile""]","[""stable""]",44484.73,45240.94,internal,0.945,2.08,352,False,0.0,api,4,Reputation-Trust,,,,swap,cross_chain,balanced,moderate,medium,,,,14,,,0.364,0.34,0.296
15000,30000,15530,immediate,613,2.51,4,True,False,False,maximize_output,58,13,12,17,False,1,1,"[""native""]","[""native""]",41650.23,41921.27,paraswap,0.79,1.68,155,False,0.0,api,3,Surplus-First,543.29,1.3,0.5,complex_defi,multi_token,output,complex,medium,0.485,0.365,0.15,13,,,,,
10000,60000,119476,fill_or_kill,604,2.11,2,False,False,False,fastest_execution,20,45,15,20,True,1,1,"[""volatile""]","[""native""]",7635.92,7592.18,coingecko,0.846,1.04,502,False,0.0,web,0,Gas-Optimized,,,,swap,multi_hop_swap,cost,simple,low,,,,45,0.263,0.302,,,
5000,60000,280529,immediate,581,2.33,3,False,True,False,minimize_gas,45,15,20,20,True,2,2,"[""stable"", ""volatile""]","[""stable"", ""stable""]",720.28,706.41,paraswap,0.918,2.21,82,True,0.88,mobile,2,Surplus-First,572.94,81.11,1.31,complex_defi,split_route,output,moderate,medium,0.461,0.359,0.18,15,,,,,
5000,120000,319355,good_til_cancel,719,2.3,4,True,False,False,balanced,27,14,11,48,True,3,1,"[""native"", ""stable"", ""native""]","[""volatile""]",42958.77,43395.91,internal,0.974,1.83,530,False,0.0,telegram,3,Reputation-Trust,,,,swap,simple_swap,balanced,moderate,medium,,,,14,,,0.423,0.367,0.21
10000,120000,71477,good_til_cancel,511,2.01,2,True,False,True,minimize_gas,24,46,15,15,True,1,1,"[""volatile""]","[""native""]",10216.34,10231.88,paraswap,0.896,0.59,413,False,0.0,mobile,1,Gas-Optimized,,,,limit_order,standard_limit,cost,simple,low,,,,46,0.263,0.336,,,
